title,dwa_title
Quality Control Systems Managers,Maintain knowledge of current developments in area of expertise.
Quality Control Systems Managers,Prepare operational budgets.
Quality Control Systems Managers,Evaluate new technologies or methods.
Quality Control Systems Managers,Manage control system activities in organizations.
Quality Control Systems Managers,Evaluate quality of materials or products.
Quality Control Systems Managers,Inspect condition or functioning of facilities or equipment.
Quality Control Systems Managers,Evaluate quality of materials or products.
Quality Control Systems Managers,Review documents or materials for compliance with policies or regulations.
Quality Control Systems Managers,Document organizational or operational procedures.
Quality Control Systems Managers,Prepare operational progress or status reports.
Quality Control Systems Managers,Develop specifications for new products or processes.
Quality Control Systems Managers,Monitor facilities or operational systems.
Quality Control Systems Managers,Advise customers on technical or procedural issues.
Quality Control Systems Managers,Analyze data to assess operational or project effectiveness.
Quality Control Systems Managers,Recommend organizational process or policy changes.
Quality Control Systems Managers,Conduct employee training programs.
Quality Control Systems Managers,Develop organizational methods or procedures.
Quality Control Systems Managers,Document organizational or operational procedures.
Quality Control Systems Managers,"Direct organizational operations, projects, or services."
Quality Control Systems Managers,Implement organizational process or policy changes.
Quality Control Systems Managers,"Develop operating strategies, plans, or procedures."
Quality Control Systems Managers,Confer with organizational members to accomplish work activities.
Quality Control Systems Managers,Communicate organizational policies and procedures.
Quality Control Systems Managers,Communicate organizational information to customers or other stakeholders.
Quality Control Systems Managers,Analyze data to inform operational decisions or activities.
Quality Control Systems Managers,Confer with organizational members to accomplish work activities.
Quality Control Systems Managers,Supervise employees.
Quality Control Systems Managers,Monitor organizational procedures to ensure proper functioning.
Quality Control Systems Managers,Manage control system activities in organizations.
